9	9	9	10	9	12	
9	9	9	10	9	12	
9	9	9	10	9	12	
9	9	9	10	9	11	
9	9	9	8	9	11	
9	9	9	8	9	11	
9	9	9	8	8	11	
9	9	9	8	8	10	
8	9	9	7	8	10	
8	9	9	7	8	10	
8	9	9	7	7	10	
8	9	9	7	7	9	
7	9	9	6	7	9	
7	9	9	6	7	9	
7	9	9	6	5	9	
7	8	9	6	5	7	
5	8	9	5	5	7	
5	8	9	5	5	7	
5	8	9	5	4	7	
5	7	9	5	4	5	
4	7	9	4	4	5	
4	7	8	4	4	5	
4	7	8	4	2	5	
4	5	8	4	2	3	
2	5	8	3	2	3	
2	5	7	3	2	3	
2	5	7	3	1	3	
2	4	7	3	1	1	
1	4	7	2	1	1	
1	4	5	2	1	1	
1	4	5	2	0	1	
1	2	5	2	0	0	
0	2	5	1	0	0	
0	2	4	1	0	0	
0	2	4	1	0	0	
0	1	4	1	0	0	
0	1	4	0	0	0	
0	1	2	0	0	0	
0	1	2	0	0	0	
0	0	2	0	0	0	
